OBJECTID,GEOID,STATE,COUNTY,TRACT,LOWMOD,LOWMODUNIV,LOWMODPCT,UCLMOD,UCLMODU,UCLMODPCT,SHAPE_Length,SHAPE_Area
38402,47157009901,47,157,009901,2815,3995,70.46,NA,NA,NA,0.348783174436377,0.00188833546642023
38403,47157020102,47,157,020102,495,2990,16.56,NA,NA,NA,0.531702135732499,0.00744395902700148
38404,47157022321,47,157,022321,2475,3950,62.66,NA,NA,NA,0.0889593288015638,4.2083149436947e-4
38405,47157020210,47,157,020210,2055,5380,38.2,NA,NA,NA,0.546971042846312,0.00580434628540315
38406,47157020222,47,157,020222,1260,3230,39.01,NA,NA,NA,0.298971445097746,0.00344929276140092
38411,47157005500,47,157,005500,2720,3620,75.14,NA,NA,NA,0.0815035082954301,3.3166287499547e-4
38412,47157005600,47,157,005600,3300,4565,72.29,NA,NA,NA,0.0922665861861825,4.146789028089e-4
38417,47157005700,47,157,005700,2280,2780,82.01,NA,NA,NA,0.0610611735362223,1.4313452182295e-4
38418,47157005800,47,157,005800,1085,1225,88.57,NA,NA,NA,0.0336044506391978,6.98667531114322e-5
38423,47157002600,47,157,002600,390,2230,17.49,NA,NA,NA,0.0435032961521485,1.1832146499041e-4
38424,47157002700,47,157,002700,1900,2710,70.11,NA,NA,NA,0.0482925229459145,1.3419743249733e-4
38440,47157011700,47,157,011700,1215,1785,68.07,NA,NA,NA,0.0849335935195106,3.4902802044558e-4
38441,47157011500,47,157,011500,2135,2635,81.02,NA,NA,NA,0.0734323015619838,2.361428671769e-4
38449,47157021726,47,157,021726,2850,3985,71.52,NA,NA,NA,0.0482231546192249,1.4187867519413e-4
38476,47157021125,47,157,021125,935,3755,24.9,NA,NA,NA,0.0877932278522266,4.5805940165573e-4
38477,47157021124,47,157,021124,2135,7260,29.41,NA,NA,NA,0.0874297120046052,4.1087722898522e-4
38485,47157021751,47,157,021751,1530,6350,24.09,NA,NA,NA,0.0996973982577565,5.13812303797e-4
38486,47157021754,47,157,021754,1760,4810,36.59,NA,NA,NA,0.0643124911993186,2.5672818757951e-4
38487,47157021900,47,157,021900,2705,5035,53.72,NA,NA,NA,0.172453315821784,0.00150080941376875
38489,47157020524,47,157,020524,2690,4565,58.93,NA,NA,NA,0.0949680297233233,4.612174080916e-4
38493,47157021351,47,157,021351,665,3995,16.65,NA,NA,NA,0.0968126787194908,4.2880175541114e-4
38501,47157020644,47,157,020644,1860,9315,19.97,NA,NA,NA,0.198995988722419,0.00110330720768868
38505,47157005900,47,157,005900,2410,3100,77.74,NA,NA,NA,0.0505301645651802,1.4022915016606e-4
38526,47157022210,47,157,022210,3195,4965,64.35,NA,NA,NA,0.260831582069503,0.00203667609246042
38527,47157001700,47,157,001700,1540,3340,46.11,NA,NA,NA,0.0523138485394191,1.6266893071418e-4
38564,47157020400,47,157,020400,379,1049,36.13,NA,NA,NA,0.216400417680101,0.00131033015998777
38565,47157020820,47,157,020820,1000,6880,14.53,NA,NA,NA,0.424402515972844,0.00710925595113497
38566,47157020700,47,157,020700,575,2475,23.23,NA,NA,NA,0.464306553047609,0.00909033271914402
38567,47157020810,47,157,020810,765,3010,25.42,NA,NA,NA,0.508005563810443,0.0112129998574979
38568,47157021020,47,157,021020,1080,5710,18.91,NA,NA,NA,0.408859373103061,0.00650862940808523
38569,47157020221,47,157,020221,515,2505,20.56,NA,NA,NA,0.328828690381206,0.00516008460434393
38570,47157020900,47,157,020900,1025,8270,12.39,NA,NA,NA,0.228863989767741,0.00287639786724318
38572,47157001900,47,157,001900,1560,1795,86.91,NA,NA,NA,0.0395727108784045,9.14779999850609e-5
38580,47157009300,47,157,009300,1585,4440,35.7,NA,NA,NA,0.0854814271517939,3.1735821795845e-4
38581,47157021113,47,157,021113,970,3860,25.13,NA,NA,NA,0.106545213026731,4.2159273217958e-4
38582,47157021136,47,157,021136,300,5220,5.75,NA,NA,NA,0.0938917189756374,4.1970731082202e-4
38584,47157002800,47,157,002800,3160,4105,76.98,NA,NA,NA,0.0787970792455064,2.393676975007e-4
