GEOID10,low,lowmod,lmmi,lowmoduniv,lowmod_pct,moe_lowmod_pct
471570095002,115,415,540,1550,0.2677,0.1671
471570095003,175,410,570,1595,0.2571,0.1103
471570095004,245,375,880,1590,0.23579999999999998,0.1509
471570096001,110,115,115,1005,0.1144,0.1493
471570096002,20,70,245,1600,0.0438,0.0381
471570096003,95,145,235,1080,0.1343,0.0759
471570096004,235,480,635,1485,0.3232,0.1966
471570097001,685,1095,1675,1900,0.5763,0.16579999999999998
471570097002,270,410,720,830,0.494,0.2241
471570098001,735,1210,1380,1630,0.7423000000000001,0.22820000000000001
471570098002,850,1280,1740,2115,0.6052000000000001,0.23920000000000002
471570099011,600,645,675,750,0.86,0.5333
471570099012,405,530,820,880,0.6023,0.242
471570099013,1230,1540,1595,1665,0.92489999999999994,0.30210000000000004
471570099021,330,590,855,935,0.631,0.2545
471570099022,765,825,915,940,0.8776999999999999,0.37020000000000003
471570099023,490,685,810,855,0.8012,0.32630000000000003
471570100001,905,1230,1520,1770,0.6949,0.2768
471570100002,920,1515,2005,2310,0.6557999999999999,0.3268
471570100003,555,730,810,825,0.8848,0.4339
471570100004,730,870,1070,1255,0.6931999999999999,0.4279
471570100005,520,850,960,1200,0.7082999999999999,0.35
471570101101,550,595,680,940,0.633,0.2638
471570101102,635,1000,1265,1435,0.6969,0.3986
471570101103,1100,1185,1200,1200,0.9875,0.425
471570101104,1130,1130,1130,1285,0.8794,0.4521
471570101105,840,910,1260,1415,0.6431,0.38799999999999996
471570101106,1140,1600,1625,1625,0.9845999999999999,0.3218
471570101201,695,990,1160,1285,0.7704000000000001,0.24280000000000002
471570101202,605,660,755,815,0.8098000000000001,0.2785
471570101203,560,710,765,960,0.7395999999999999,0.2771
471570101204,315,465,680,820,0.5671,0.322
471570101205,475,620,745,745,0.8321999999999999,0.345
471570102101,1080,1600,1820,1975,0.8101,0.2354
471570102102,495,640,890,970,0.6598,0.266
471570102103,405,625,910,1005,0.6219,0.2746
471570102104,950,1200,1425,1635,0.7339,0.2709
471570102201,490,560,740,790,0.7089,0.7746999999999999
471570102202,1205,1385,1485,1760,0.7868999999999999,0.28859999999999997
471570102203,125,220,605,740,0.2973,0.1743
471570102204,390,400,560,660,0.6061,0.4242
471570102205,600,820,985,1585,0.5174,0.2625
471570102206,305,360,560,1010,0.3564,0.23370000000000002
471570103001,825,1030,1345,1495,0.6890000000000001,0.15789999999999998
471570105001,535,820,970,1095,0.7489,0.2137
471570105002,150,160,165,185,0.8649,0.46490000000000004
471570106101,970,1195,1940,1980,0.6035,0.2212
